INFO   | jvm 1    | 2020/11/19 13:00:26 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:02:18 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:02:19 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:02:20 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:02:20 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:02:20 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:02:21 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:02:21 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:02:21 | 
INFO   | jvm 1    | 2020/11/19 13:02:22 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:06:02 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:06:03 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:06:04 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:06:04 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:06:04 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:06:04 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:06:04 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:06:04 | 
INFO   | jvm 1    | 2020/11/19 13:06:05 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:08:58 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:09:00 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:09:04 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/11/19 13:09:05 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:09:05 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:09:05 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:09:05 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:09:05 | 
INFO   | jvm 1    | 2020/11/19 13:09:06 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:14:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:14:30 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:14:30 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:14:31 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:14:31 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:14:31 | 
INFO   | jvm 1    | 2020/11/19 13:14:33 | MyCAT Server startup successfully. see logs in logs/mycat.log
STATUS | wrapper  | 2020/11/19 13:17:02 | INT trapped.  Shutting down.
STATUS | wrapper  | 2020/11/19 13:17:03 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/11/19 13:17:04 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/11/19 13:17:04 | Launching a JVM...
INFO   | jvm 1    | 2020/11/19 13:17:05 | OpenJDK 64-Bit Server VM warning: ignoring option MaxPermSize=64M; support was removed in 8.0
INFO   | jvm 1    | 2020/11/19 13:17:05 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2020/11/19 13:17:05 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2020/11/19 13:17:05 | 
INFO   | jvm 1    | 2020/11/19 13:17:05 | 
INFO   | jvm 1    | 2020/11/19 13:17:05 | WrapperSimpleApp: Encountered an error running main: java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 13:17:05 | java.lang.ExceptionInInitializerError
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at io.mycat.MycatStartup.main(MycatStartup.java:53)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at java.lang.reflect.Method.invoke(Method.java:498)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:240)
INFO   | jvm 1    | 2020/11/19 13:17:05 | 	at java.lang.Thread.run(Thread.java:748)
